"Pathway"	"Genes"
"58"	"Pathway.KEGG_Arachidonic acid metabolism"	"EPHX2, CYP2B6, CYP2J2, CYP2C9, CYP2C8, ALOX15B, ALOX12B, CYP2U1, GPX6, GPX1, GPX2, GPX3, GPX5, GPX7, GPX8, CYP4F3, CYP4F2, CYP4A11, CYP4A22, ALOX12, ALOX15, PTGS1, PTGS2, PLA2G4B, PLAAT3, PLA2G4E, PLB1, PLA2G4F, PLA2G2D, PLA2G4D, PLA2G2E, PLA2G2C, PLA2G3, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A, PLA2G6, PLA2G10, PLA2G12B, PLA2G4C, JMJD7-PLA2G4B, ALOX5, LTA4H, LTC4S, GGT1, GGT5, PTGIS, PTGES3, PTGES2, PTGES, TBXAS1, AKR1C3, HPGDS, PTGDS, CBR1, CBR3, PRXL2B, CYP2C19, CYP4F8, CYP2E1"
"59"	"Pathway.KEGG_Linoleic acid metabolism"	"CYP1A2, ALOX15, PLA2G4B, PLAAT3, PLA2G4E, PLB1, PLA2G4F, PLA2G2D, PLA2G4D, PLA2G2E, PLA2G2C, PLA2G3, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A, PLA2G6, PLA2G10, PLA2G12B, PLA2G4C, JMJD7-PLA2G4B, CYP2C19, CYP2C8, CYP2C9, CYP2J2, CYP2E1, CYP3A4"
"60"	"Pathway.KEGG_alpha-Linolenic acid metabolism"	"ACOX1, ACOX3, ACAA1, PLA2G4B, PLAAT3, PLA2G4E, PLB1, PLA2G4F, PLA2G2D, PLA2G4D, PLA2G2E, PLA2G2C, PLA2G3, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A, PLA2G6, PLA2G10, PLA2G12B, PLA2G4C, JMJD7-PLA2G4B, FADS2"
"61"	"Pathway.KEGG_Sphingolipid metabolism"	"ACER3, SGPP2, SGPP1, ASAH1, ASAH2, CERS1, CERS3, CERS2, CERS4, DEGS2, DEGS1, ENPP7, SMPD3, SMPD4, SMPD1, SMPD2, CERK, PLPP1, PLPP2, PLPP3, SPTLC1, SPTLC3, SPTLC2, KDSR, GAL3ST1, GLA, NEU3, NEU4, NEU1, NEU2, UGT8, GLB1, GBA, GBA2, UGCG, ACER1, ACER2, SPHK2, SPHK1, SGPL1, GALC, ARSA, B4GALT6, SGMS2, SGMS1, CERS6, CERS5"
"62"	"Pathway.KEGG_Glycosphingolipid biosynthesis - lacto and neolacto series"	"FUT9, FUT4, FUT3, FUT5, FUT6, B4GALT4, B4GALT3, B4GALT2, FUT7, ABO, FUT1, FUT2, ST3GAL6, B3GNT3, B3GNT2, GCNT2, ST8SIA1, B3GNT4, B4GALT1, B3GNT5, B3GALT1, B3GALT2, B3GALT5, ST3GAL3, ST3GAL4, A4GALT, B3GALNT1"
"63"	"Pathway.KEGG_Glycosphingolipid biosynthesis - globo and isoglobo series"	"ST3GAL1, ST3GAL2, B3GALT5, NAGA, A4GALT, HEXA, HEXB, ST8SIA1, FUT9, FUT1, FUT2, GLA, B3GALNT1, GBGT1, A3GALT2"
"64"	"Pathway.KEGG_Glycosphingolipid biosynthesis - ganglio series"	"ST3GAL1, ST3GAL2, GLB1, HEXA, HEXB, ST8SIA1, ST8SIA5, SLC33A1, B3GALT4, B4GALNT1, ST6GALNAC6, ST6GALNAC3, ST6GALNAC4, ST3GAL5, ST6GALNAC5"
"65"	"Pathway.KEGG_Pyruvate metabolism"	"PDHA1, PDHA2, PDHB, PCK1, PCK2, PKLR, PKM, GLO1, LDHD, HAGH, PC, ME2, ME3, ME1, MDH1, MDH2, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, ACSS2, ACSS1, ACOT12, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, ACAT1, ACAT2, ACACA, ACACB, GRHPR, DLAT, DLD, ACYP1, ACYP2, FH"
"66"	"Pathway.KEGG_Glyoxylate and dicarboxylate metabolism"	"HYI, ACO1, ACO2, HOGA1, AFMID, HAO2, HAO1, GRHPR, CS, MDH1, MDH2, PGP, ACAT1, ACAT2, MCEE, PCCA, PCCB, MMUT, AGXT, SHMT1, SHMT2, DLD, GCSH, GLDC, AMT, CAT, GLUL, GLYCTK, ACSS2, ACSS1"
"67"	"Pathway.KEGG_Propanoate metabolism"	"ALDH6A1, ACACA, ACACB, MLYCD, ABAT, HIBCH, MCEE, PCCA, PCCB, ECHDC1, ACSS3, ACSS2, ACSS1, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, ECHS1, EHHADH, HADHA, ACADS, MMUT, SUCLG2, SUCLG1, SUCLA2, ACAT1, ACAT2, DLD, BCKDHA, BCKDHB, DBT, ACOX1, ACOX3"
"68"	"Pathway.KEGG_Butanoate metabolism"	"BDH2, BDH1, OXCT1, OXCT2, AACS, HMGCL, HMGCLL1, HMGCS1, HMGCS2, ACAT1, ACAT2, EHHADH, HADH, ECHS1, HADHA, ABAT, GAD1, GAD2, ACADS, ALDH5A1, ACSM1, ACSM2A, ACSM6, ACSM4, ACSM2B, ACSM5, ACSM3, L2HGDH"
"69"	"Pathway.KEGG_One carbon pool by folate"	"FTCD, GART, MTHFD2, MTHFD2L, DHFR, DHFR2, MTHFR, MTHFD1, ST20-MTHFS, MTHFS, AMT, MTFMT, ALDH1L1, ALDH1L2, MTHFD1L, ATIC, TYMS, MTR, SHMT1, SHMT2"
"70"	"Pathway.KEGG_Thiamine metabolism"	"THTPA, AK7, AK8, AK1, AK2, AK4, AK5, LOC390877, NTPCR, TPK1, NFS1, ALPI, ALPL, ALPP, ALPG, ACP1"
"71"	"Pathway.KEGG_Riboflavin metabolism"	"FLAD1, RFK, BLVRB, ENPP1, ENPP3, ACP1, ACP2, ACP5"
"72"	"Pathway.KEGG_Vitamin B6 metabolism"	"AOX1, PNPO, PHOSPHO2, PDXP, PDXK, PSAT1"
"73"	"Pathway.KEGG_Nicotinate and nicotinamide metabolism"	"ASPDH, NUDT12, QPRT, ENPP1, ENPP3, NMRK2, NMRK1, PNP, NMNAT2, NMNAT3, NMNAT1, NADSYN1, NAPRT, NAMPT, BST1, CD38, NNMT, NADK2, NADK, NNT, AOX1, SIRT2, SIRT5, SIRT4, SIRT3, SIRT1, SIRT7, SIRT6, NT5C1B-RDH14, NT5C3B, NT5C2, NT5C, NT5E, NT5C3A, NT5M, NT5C1A, NT5C1B"
"74"	"Pathway.KEGG_Pantothenate and CoA biosynthesis"	"COASY, ENPP1, ENPP3, PANK1, PANK4, PANK3, PANK2, PPCDC, UPB1, DPYS, DPYD, VNN3, VNN2, VNN1, BCAT1, BCAT2, GADL1, AASDHPPT, PPCS"
"75"	"Pathway.KEGG_Biotin metabolism"	"HLCS, OXSM, BTD"
"76"	"Pathway.KEGG_Lipoic acid metabolism"	"LIAS, LIPT1, ACSM1, LIPT2"
"77"	"Pathway.KEGG_Folate biosynthesis"	"FPGS, DHFR, DHFR2, QDPR, GCH1, GGH, ALPI, ALPL, ALPP, ALPG, PTS, MOCS1, MOCS2, GPHN, MOCOS, PCBD1, PCBD2, PAH, TH, TPH2, TPH1, SPR, AKR1B1, AKR1B10, CBR1, AKR1C3"
"78"	"Pathway.KEGG_Retinol metabolism"	"ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, BCO1, ALDH1A1, ALDH1A2, AOX1, LRAT, RDH10, RDH11, RDH5, RETSAT, RPE65, RDH12, AWAT2, DGAT1, CYP26A1, CYP26C1, CYP26B1, CYP3A7-CYP3A51P, CYP3A7, CYP3A4, CYP3A5, CYP1A1, CYP1A2, RDH8, RDH16, DHRS9, DHRS4, DHRS4L2, DHRS4L1, DHRS3, CYP2A6, CYP2B6, CYP2S1, CYP4A11, CYP4A22, CYP2C8, CYP2C9, CYP2C18, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, PNPLA4, SDR16C5, HSD17B6, CYP27C1"
"79"	"Pathway.KEGG_Porphyrin and chlorophyll metabolism"	"CPOX, GUSB, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, BLVRA, BLVRB, HCCS, COX10, FECH, CP, FXN, HEPH, PPOX, UROD, UROS, HMBS, ALAD, ALAS1, ALAS2, EARS2, EPRS1, MMAB, COX15, HMOX1, HMOX2"
"80"	"Pathway.KEGG_Terpenoid backbone biosynthesis"	"MVK, ACAT1, ACAT2, HMGCS1, HMGCS2, HMGCR, IDI1, IDI2, MVD, PMVK, FDPS, GGPS1, NUS1, DHDDS, PDSS1, PDSS2, FNTA, FNTB, RCE1, ICMT, PCYOX1, ZMPSTE24"
"81"	"Pathway.KEGG_Nitrogen metabolism"	"CA5B, CA14, CA13, CA1, CA2, CA3, CA4, CA5A, CA6, CA7, CA8, CA9, CA12, CPS1, GLUL, GLUD1, GLUD2"
"82"	"Pathway.KEGG_Sulfur metabolism"	"SUOX, BPNT1, IMPAD1, PAPSS2, PAPSS1, SELENBP1, MPST, TST, SQOR, ETHE1"
"83"	"Pathway.KEGG_Aminoacyl-tRNA biosynthesis"	"IARS1, IARS2, NARS1, NARS2, HARS2, HARS1, FARSB, FARS2, FARSA, RARS2, RARS1, QARS1, CARS2, CARS1, GARS1, DARS1, DARS2, SARS2, SARS1, MARS1, MARS2, VARS2, VARS1, AARS1, AARS2, KARS1, LARS2, LARS1, TARS3, TARS1, TARS2, WARS2, WARS1, MTFMT, YARS2, YARS1, EPRS1, PARS2, EARS2, GATC, GATB, QRSL1, PSTK, SEPSECS, TRNE, TRNQ, TRNA, TRND, TRNS1, TRNS2, TRNT, TRNN, TRNG, TRNC, TRNM, TRNV, TRNL1, TRNL2, TRNI, TRNK, TRNR, TRNP, TRNH, TRNF, TRNY, TRNW"
"84"	"Pathway.KEGG_Metabolism of xenobiotics by cytochrome P450"	"CYP2E1, GSTO2, GSTA5, HPGDS, GSTA1, GSTA2, GSTA3, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTT1, GSTT2, GSTK1, MGST1, MGST2, MGST3, GSTT2B, GSTO1, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, GSTP1, EPHX1, CYP1A1, CYP1A2, CYP3A4, CYP3A5, CYP2A13, AKR7A3, AKR7A2, CYP1B1, SULT2A1, CYP2B6, AKR1C1, DHDH, HSD11B1, CBR1, CBR3, CYP2A6, LOC107987478, LOC107987479, CYP2D7, CYP2D6, CYP2C9, CYP2F1, CYP2S1"
"85"	"Pathway.KEGG_Drug metabolism - cytochrome P450"	"ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, FMO1, FMO2, FMO3, FMO4, FMO5, CYP3A4, LOC107987478, LOC107987479, CYP2D7, CYP2D6, CYP1A2, CYP2B6, CYP2C19, CYP2C9, GSTO2, GSTA5, HPGDS, GSTA1, GSTA2, GSTA3, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTP1, GSTT1, GSTT2, GSTK1, MGST1, MGST2, MGST3, GSTT2B, GSTO1, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, CYP2A6, MAOA, MAOB, AOX1, CYP2E1, CYP2C8, CYP3A5"
"86"	"Pathway.KEGG_Drug metabolism - other enzymes"	"TPMT, HPRT1, GMPS, ITPA, XDH, NAT2, NAT1, UPP2, UPP1, TYMP, DPYD, DPYS, UPB1, UMPS, UCKL1, UCK2, UCK1, TK1, TK2, IMPDH1, IMPDH2, CDA, CES1, CES2, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, CYP3A4, GUSB, CMPK1, NME6, NME7, NME1, NME2, NME3, NME4, NME1-NME2, RRM2B, RRM1, RRM2, DUT, CYP2A6, MPO, CYP2E1, GSTO2, GSTA5, GSTA1, GSTA2, GSTA3, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTP1, GSTT1, GSTT2, MGST1, MGST2, MGST3, GSTT2B, GSTO1"
"87"	"Pathway.KEGG_Biosynthesis of unsaturated fatty acids"	"FADS2, ELOVL2, HSD17B12, HACD2, HACD4, HACD3, HACD1, TECR, ACAA1, SCP2, HSD17B4, ACOX1, ACOX3, ACOT2, ACOT7, ACOT4, BAAT, ACOT1, ELOVL6, ELOVL7, ELOVL3, ELOVL1, SCD, SCD5, ELOVL5, FADS1, ELOVL4"
